time	syntax_penn_tok2	syntax_penn_lem2	lexical_tok2	lexical_lem2	cosine_semanticL	partner_direction	condition_info
0	0.17407765595569785	0.2988812888320308	0.05598925109558543	0.05598925109558543	0.35993768336037935	A>B	phoneDialog599-phoneDialog878-condA
1	0.0	0.09805806756909201	0.0	0.0	0.3114343274881204	B>A	phoneDialog599-phoneDialog878-condA
2	0.0	0.08333333333333333	0.0	0.0	0.32736052805711324	A>B	phoneDialog599-phoneDialog878-condA
3	0.0	0.0890870806374748	0.0	0.0	0.37438005828913523	B>A	phoneDialog599-phoneDialog878-condA
4	0.0	0.0	0.0	0.0	0.0656450664261673	A>B	phoneDialog599-phoneDialog878-condA
5	0.0	0.0	0.0	0.0	0.07996481498421015	B>A	phoneDialog599-phoneDialog878-condA
6	0.13363062095621217	0.13363062095621217	0.0	0.0	0.26248711435748073	A>B	phoneDialog599-phoneDialog878-condA
7	0.0	0.0	0.0	0.0	0.23353651014237375	B>A	phoneDialog599-phoneDialog878-condA
8	0.0	0.0	0.0	0.0	0.08498116497777797	A>B	phoneDialog599-phoneDialog878-condA
9	0.1336306209562122	0.2838664779018298	0.0	0.0	0.2634362802459689	B>A	phoneDialog599-phoneDialog878-condA
10	0.4173919355648411	0.5035641612900671	0.033778435004092174	0.032920974430820975	0.7706096960014477	A>B	phoneDialog599-phoneDialog878-condA
11	0.13968605915391563	0.2666666666666666	0.0	0.0	0.38175122481486645	B>A	phoneDialog599-phoneDialog878-condA
12	0.23702273156998863	0.27529888064467417	0.11359236684941296	0.11359236684941296	0.3440329977706422	A>B	phoneDialog599-phoneDialog878-condA
13	0.2138576270917059	0.37660092252628036	0.01712469363126854	0.04960202468574338	0.6844340531463079	B>A	phoneDialog599-phoneDialog878-condA
14	0.0	0.11470786693528087	0.0	0.0	0.21108541826566707	A>B	phoneDialog599-phoneDialog878-condA
15	0.0	0.0	0.0	0.0	0.24079303249821038	B>A	phoneDialog599-phoneDialog878-condA
16	0.15811388300841897	0.16222142113076254	0.0	0.0	0.618975756098516	A>B	phoneDialog599-phoneDialog878-condA
17	0.35115526951766407	0.46332049186129526	0.026943511520719617	0.02652790545386455	0.6640175124150549	B>A	phoneDialog599-phoneDialog878-condA
18	0.07242068243779014	0.08654846448158308	0.0	0.0	0.37983525974627286	A>B	phoneDialog599-phoneDialog878-condA
0	0.07142857142857142	0.06900655593423542	0.0890870806374748	0.1781741612749496	0.2625693297476257	A>B	phoneDialog675-phoneDialog954-condA
1	0.30547990498595884	0.24688535993934702	0.047140452079103175	0.047140452079103175	0.48401178135506906	B>A	phoneDialog675-phoneDialog954-condA
2	0.12574886370696423	0.33583024712973375	0.0	0.03333333333333333	0.6035595000685916	A>B	phoneDialog675-phoneDialog954-condA
3	0.346551640041836	0.4682929057908469	0.0	0.0	0.444598453542724	B>A	phoneDialog675-phoneDialog954-condA
4	0.4924580896481245	0.5786913866044946	0.0	0.0	0.5259580568927356	A>B	phoneDialog675-phoneDialog954-condA
5	0.0	0.0	0.0	0.0	0.2909148396781307	B>A	phoneDialog675-phoneDialog954-condA
6	0.0	0.0	0.0	0.0	0.1182842388900871	A>B	phoneDialog675-phoneDialog954-condA
7	0.15389675281277312	0.4330127018922193	0.06401843996644799	0.1259881576697424	0.4462390039857077	B>A	phoneDialog675-phoneDialog954-condA
